ÁREA,PRÉDIO,LOCAL,MÁQUINA,FABRICANTE,BTU,FUNCIONA,ESTADO,FUNCAO,CRITICO,AUTOMACAO,DIAS SEMANA,HORAS,PRIORIDADE,RISCO,AREA_M2,ALTURA_M,VOLUME_M3,,,,OBSERVAÇÕES
OPERATIVA,PCI,SALA ENCARREGADO,JANELA,SPRINGER,"12,000",OK,VELHA,CONFORTO,,,5,8,2,2,,,,,,,
OPERATIVA,PENGUIN,SALA DO SUPERVISOR,SELF CONTAINED,,"180,000",OK,SEMI,CONFORTO,,,5,8,2,2,,,,,,,
OPERATIVA,PENGUIN,SEÇÃO DE MONTAGEM,JANELA,,"7,500",OK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
OPERATIVA,SIDEWINDER,SEÇÃO DE MONTAGEM,JANELA,,"22,000",OK,SEMI,ARMAMENTO,,,5,8,2,2,,,,,,,
PAIOL,PAIOL,D-5,SELF CONTAINED,,"180,000",OK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,
PAIOL,PAIOL,D-5,SELF CONTAINED,,"180,000",NOK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,
PAIOL,PAIOL,G-5,SELF CONTAINED,,"180,000",OK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,
PAIOL,PAIOL,G-5,SELF CONTAINED,,"180,000",NOK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,CORREIA AVARIADA
PAIOL,PAIOL,G-6,SELF CONTAINED,,"180,000",OK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,
PAIOL,PAIOL,G-6,SELF CONTAINED,,"180,000",NOK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,
PAIOL,PAIOL,G-7,SELF CONTAINED,,"180,000",OK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,
PAIOL,PAIOL,G-7,SELF CONTAINED,,"180,000",NOK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,FUSÍVEIS DO QUADRO ELETRICO QUEIMADOS
PAIOL,PAIOL,G-8,SELF CONTAINED,,"180,000",OK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,
PAIOL,PAIOL,G-8,SELF CONTAINED,,"180,000",NOK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,
PAIOL,PAIOL,K-6,SELF CONTAINED,,"180,000",OK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,
PAIOL,PAIOL,K-6,SELF CONTAINED,,"180,000",NOK,VELHA,ARMAMENTO,X,X,7,24,1,1,,,,,,,
PAIOL,PAIOL,U-6,SELF CONTAINED,,"180,000",OK,NOVA,ARMAMENTO,X,X,7,24,1,1,,,,,,,SISTEMA SUPERVISORIO
PAIOL,PAIOL,U-6,SELF CONTAINED,,"180,000",OK,NOVA,ARMAMENTO,X,X,7,24,1,1,,,,,,,SISTEMA SUPERVISORIO
PAIOL,PAIOL,U-7,SELF CONTAINED,,"180,000",OK,NOVA,ARMAMENTO,X,X,7,24,1,1,,,,,,,SISTEMA SUPERVISORIO
